Movie,Actor,Strength
Far and Away (In einem Fernen Land),Tania Mallett,0.06
Hart am Limit (Torque),Tania Mallett,0.06
Sennentuntschi,Harold Sakata,0.75
Kaltes Blut (Infamous),Harold Sakata,0.54
"Pakt, Der (The Couvenant)",Harold Sakata,0.45
Bone Collector,Harold Sakata,0.36
Operation: Kingdom,Harold Sakata,0.24
Grosse Haie - Kleine Fische (Shark Tale),Harold Sakata,0.2
"Others, The",Harold Sakata,0.16
Kundun,Harold Sakata,0.035
"Bourne Ultimatum, The",Sean Connery,1
Pate II (The Godfather: Part II),Sean Connery,0.81
Harry Potter VI - Halbblutprinz,Sean Connery,0.72
Monty Python's Life of Brian,Sean Connery,0.675
Dead Man Walking,Sean Connery,0.585
Barfuss,Sean Connery,0.54
Sandmännchen - Gute Nacht Geschichten,Sean Connery,0.225
Dirty Dancing I,Sean Connery,0.135
"Pacific, The",Sean Connery,0.56
Sideways,Sean Connery,0.44
Ghost Rider,Sean Connery,0.32
Grounding,Sean Connery,0.16
Killing Fields,Sean Connery,0.07
Könige der Wellen,Sean Connery,0.042
City of Angels (Stadt der Engel),Claudine Auger,1.5
Sixth Sense,Claudine Auger,1.25
Final Destination,Claudine Auger,1
"Island, The",Claudine Auger,0.8
McLeods Töchter: Staffel 6,Claudine Auger,1.575
McLeods Töchter: Staffel 7,Claudine Auger,1.26
"Asterix, der Gallier",Claudine Auger,0.72
"Children of Men, The",Claudine Auger,0.72
Down in the Valley,Claudine Auger,0.675
Ice Age 1,Claudine Auger,0.09
D-Day 6.6.44,Claudine Auger,0.56
Million Dollar Baby,Claudine Auger,0.4
"Krieger und die Kaiserin, Der",Claudine Auger,0.16
Monty Python and the Holy Grail,Claudine Auger,0.07
"Good Shepherd, The",Claudine Auger,0.035
"Last Samurai, The",Claudine Auger,0.035
S.W.A.T.,Claudine Auger,0.021
"Fähnlein der sieben Aufrechten, Das",Claudine Auger,0.007
Chaos,Claudine Auger,0.006
McLeods Töchter: Staffel 7,Adolfo Celi,1
Bones: Die Knochenjägerin (Season 3),Adolfo Celi,0.12
Bones: Die Knochenjägerin (Season 4),Luciana Paluzzi,1.25
From Hell,Luciana Paluzzi,1
Bones: Die Knochenjägerin (Season 3),Luciana Paluzzi,0.9
"Hölle Vietnams, Die (A Bright Shining Lie)",Luciana Paluzzi,0.9
Kingsman,Luciana Paluzzi,0.2
Liebe und Eis (The Cutting Edge),Luciana Paluzzi,0.07
Sixth Sense,Rik Van Nutter,0.8
Sky High,Bernard Lee,1.25
"Asterix, der Gallier",Bernard Lee,1
"Illusionist, The",Bernard Lee,0.81
Madagascar II,Bernard Lee,0.72
Pakt der Wölfe (Brotherhood of the Wolf),Sean Connery,4.5
Drachenzähmen (How to Train Your Dragon),Sean Connery,4
Full Metal Jacket,Sean Connery,6
Reservoir Dogs,Akiko Wakabayashi,1.1
Letters From Iwo Jima,Akiko Wakabayashi,0.9
Princess of Thieves (Gwyn),Akiko Wakabayashi,0.81
Bus(c)h Piloten,Akiko Wakabayashi,0.72
Schatten einer Liebe (To Gillian on Her 37th Birthday),Akiko Wakabayashi,0.63
Les Misérables,Akiko Wakabayashi,0.48
Drei Haselnüsse für Aschenbrödel,Donald Pleasence,7
Pakt der Wölfe (Brotherhood of the Wolf),Donald Pleasence,5
"Constant Gardener, The",Tetsuro Tamba,1.2
"Score, The",Tetsuro Tamba,0.99
"Sissi, Schicksalsjahre einer Kaiserin",Tetsuro Tamba,0.9
Solange du da bist (Just Like Heaven),Tetsuro Tamba,0.81
Harry Potter III - Gefangene von Askaban,Tetsuro Tamba,0.63
"Pompeji, Die letzten Tage von Pompeji",Tetsuro Tamba,0.54
Inglorious Basterds,Tetsuro Tamba,0.45
Dirty Dancing I,Tetsuro Tamba,0.18
Kingsman,Tetsuro Tamba,0.18
Harry Potter II - Kammer des Schreckens,Tetsuro Tamba,0.64
Krieg der Welten (War of the Worlds),Tetsuro Tamba,0.024
Sideways,Tetsuro Tamba,0.006
I am Legend,Mie Hama,1.25
Festen,Mie Hama,0.9
McLeods Töchter: Staffel 4,Mie Hama,0.81
Mary Poppins,Mie Hama,0.72
Kingsman,Mie Hama,0.63
Percy Jackson - Diebe im Olymp,Mie Hama,0.585
McLeods Töchter: Staffel 3,Mie Hama,0.08
Chaos,Mie Hama,0.007
"Jacket, The",Teru Shimada,1
Snatch,Teru Shimada,0.45
Resident Evil,Teru Shimada,0.9
"Geheimnisvolle Schatz von Troja, Der",Teru Shimada,0.855
Death Proof,Teru Shimada,0.81
"Königreich für ein Lama, Ein",Teru Shimada,0.774
"Prestige, The",Teru Shimada,0.765
Johanna von Orleans (Joan of Arc),Teru Shimada,0.72
K-PAX,Teru Shimada,0.72
Master and Commander,Teru Shimada,0.675
Ghetto Gangz,Teru Shimada,0.63
Princess of Thieves (Gwyn),Teru Shimada,0.54
Gone Girl,Teru Shimada,0.45
Lord of War,Teru Shimada,0.45
"History of Violance, The",Teru Shimada,0.315
Biene Maja - Teil 1,Teru Shimada,0.225
Hart am Limit (Torque),Teru Shimada,0.225
Knockin' on Heaven's Door,Teru Shimada,0.045
Alexander,Teru Shimada,0.48
Cowboys and Aliens,Teru Shimada,0.16
Pinocchio,Teru Shimada,0.16
Pirates of the Caribbean IV: Fremde Gezeiten,Teru Shimada,0.12
"Narnia I, The Chronicles of Narnia",Teru Shimada,0.04
Oxford Murders,Teru Shimada,0.105
Battleship,Teru Shimada,0.07
"Missing, The",Teru Shimada,0.07
Snowpiercer,George Lazenby,2
Cowboys and Aliens,Diana Rigg,0.9
"Score, The",Telly Savalas,1.35
"Sissi, die junge Kaiserin",Telly Savalas,1.125
Monty Python and the Holy Grail,Telly Savalas,0.99
Rubinrot,Telly Savalas,0.9
Plötzlich Prinzessin 2,Telly Savalas,0.81
Monty Python's Life of Brian,Telly Savalas,0.63
Rambo IV,Telly Savalas,0.225
Cloverfield,Telly Savalas,0.64
Rambo IV,Telly Savalas,0.48
Cars 2,Telly Savalas,0.4
LOST - Staffel 5,Telly Savalas,0.32
Alexander,Telly Savalas,0.16
Mission: Impossible II,Telly Savalas,0.12
Pinocchio,Telly Savalas,0.12
Kundun,Telly Savalas,0.04
Batman Begins,Telly Savalas,0.21
Däumeline,Telly Savalas,0.14
Bridget Jones's Diary,Telly Savalas,0.03
Sennentuntschi,Telly Savalas,0.006
Sennentuntschi,Ilse Steppat,2
Shrek 2,Ilse Steppat,1.125
"Others, The",Ilse Steppat,0.99
Patton,Ilse Steppat,0.846
Hangover,Ilse Steppat,0.837
Bone Collector,Ilse Steppat,0.56
Operation: Kingdom,Ilse Steppat,0.52
"Schöne und das Biest, Die",Ilse Steppat,0.4
Kaltes Blut (Infamous),Ilse Steppat,0.006
Rubinrot,Gabriele Ferzetti,0.595
Bridget Jones's Diary,Gabriele Ferzetti,0.035
"Ende, Das (Assault on Precinct 13)",Yuri Borienko,1.575
Alatriste,Yuri Borienko,1.35
Mit aller Macht (Primary Colors),Yuri Borienko,0.27
Jagdfieber (Open Season),Yuri Borienko,0.4
Gestolene Herzen (Two If by Sea),Yuri Borienko,0.32
Hercules,Yuri Borienko,0.16
Haven - Staffel 2,Yuri Borienko,0.07
Casanova,Yuri Borienko,0.007
"Merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit, Das",Yuri Borienko,0.007
Plötzlich Prinzessin 2,Sean Connery,1.215
Head in the Clouds,Sean Connery,1.125
Mission to Mars,Sean Connery,0.9
"Bube, Dame, König, Gras (Lock, Stock, and Two Smoking Barrels)",Sean Connery,0.8
"Krieger und die Kaiserin, Der",Sean Connery,0.72
Rio 2,Sean Connery,0.36
Paycheck,Jill St. John,1.25
Monty Python's Life of Brian,Jill St. John,0.9
"Best of Me, The",Jill St. John,0.81
Aladdin,Jill St. John,0.72
"Dolmetscherin, Die (The Interpreter)",Jill St. John,0.495
Jagdfieber (Open Season),Charles Gray,2
Coyote Ugly,Charles Gray,1
Iron Man,Charles Gray,1.35
Cube,Charles Gray,0.99
Casanova,Charles Gray,0.81
Dumbo,Charles Gray,0.45
I am Legend,Charles Gray,0.072
E-Mail für dich (You've Got Mail),Charles Gray,0.3
"Book of Eli, The",Lana Wood,2
Fight Club,Lana Wood,4
"Book of Eli, The",Jimmy Dean,0.5
Fight Club,Jimmy Dean,0.8
Les Misérables,Bruce Cabot,0.9
Madagascar II,Roger Moore,1.5
Mädchenjahre einer Königin,Roger Moore,1.25
Knockin' on Heaven's Door,Roger Moore,1
Oxford Murders,Roger Moore,1
"Butterfly Effect 1, The",Roger Moore,0.9
Ich - Einfach unverbesserlich (Minions),Roger Moore,0.9
Arn - Der Kreuzritter,Roger Moore,0.81
I am Legend,Roger Moore,0.81
"Illusionist, The",Roger Moore,0.765
"Asterix, der Gallier",Roger Moore,0.09
Sky High,Roger Moore,0.88
"Coco, der neugierige Affe",Roger Moore,0.72
Cloverfield,Roger Moore,0.68
Grounding,Roger Moore,0.2
"Bourne Identity, The",Roger Moore,0.665
Dead Man Walking,Yaphet Kotto,0.315
American Princess,Yaphet Kotto,0.27
NBA - Die 100 Besten Spiele der NBA,Yaphet Kotto,0.225
Alatriste,Jane Seymour |Z a,2.1
Mit aller Macht (Primary Colors),Jane Seymour |Z a,2
American Princess,Jane Seymour |Z a,0.8
"Departed, The",Jane Seymour |Z a,0.45
Natural Born Killers,Jane Seymour |Z a,0.3
Hercules,Jane Seymour |Z a,0.25
NBA - Die 100 Besten Spiele der NBA,Jane Seymour |Z a,0.45
"Asterix, sieg über Cäsar",Jane Seymour |Z a,0.36
Mitten ins Herz - Ein Song für Dich,Jane Seymour |Z a,0.315
Cars,Jane Seymour |Z a,0.225
Lord of the Rings III - The Return of the King,Jane Seymour |Z a,0.162
Barfuss,Jane Seymour |Z a,0.32
Harry Potter V - Orden des Phönix,Jane Seymour |Z a,0.16
Hugo Cabret,Jane Seymour |Z a,0.16
"Girl with the Dragon Tattoo, The (Verblendung)",Jane Seymour |Z a,0.12
"Pacific, The",Jane Seymour |Z a,0.12
Carolina Moon (Lilien im Sommerwind),Jane Seymour |Z a,0.08
Fantastic Four: Rise of the Silver Surfer,Jane Seymour |Z a,0.08
Herr der Gezeiten (The Prince of Tides),Jane Seymour |Z a,0.04
"Kühe sind los, Die",Jane Seymour |Z a,0.04
Bandidas,Jane Seymour |Z a,0.032
"Maulwurf, Der - Abenteuer als Fotograf",Jane Seymour |Z a,0.032
NBA - Dunks,Jane Seymour |Z a,0.032
"Perfect Man, The",Jane Seymour |Z a,0.016
Kundun,Jane Seymour |Z a,0.014
D-Day 6.6.44,Jane Seymour |Z a,0.007
National Treasure II: Book of Secrets,Jane Seymour |Z a,0.007
Cargo,Jane Seymour |Z a,0.0035
Barfuss,Clifton James,1.8
Dead Man Walking,Clifton James,1.2
"Asterix, sieg über Cäsar",Clifton James,0.8
Harry Potter V - Orden des Phönix,Clifton James,0.72
"Pacific, The",Clifton James,0.64
NBA - Dunks,Clifton James,0.35
"Last Samurai, The",Julius Harris,1.5
NBA - Die 100 Besten Spiele der NBA,Julius Harris,1
"Island, The",Julius Harris,1.62
Sennentuntschi,Julius Harris,1.575
Mission: Impossible,Julius Harris,0.9
